x
-1 1
1 -102.6 72.65000000000001
2 -112.15 61.5
3 -95.09999999999999 67.84999999999999
4 -105.15 54.95
5 -87.55 63.45
6 -98.15000000000001 50.15
7 -79.95 59.3
8 -91.09999999999999 46.4
9 -72.34999999999999 55.05
10 -88.75 44.2
11 -64.7 50.7
12 -88.75 46.1
13 -57.15 46.35
14 -88.84999999999999 49.1
15 -50.15 48.7
16 -88.84999999999999 52.85
17 -52.45 50.9
18 -88.5 58.85
19 -53.65 51.4
20 -88.15000000000001 65.84999999999999
21 -54.2 50.1
22 -87.84999999999999 72.90000000000001
23 -55.65 48.1
24 -87.75 80
25 -58.2 45.35
26 -88.3 87.2
27 -59.6 44.25
28 -89.65000000000001 94.75
29 -60.1 51.65
30 -91.55 102.75
31 -64 59.3
32 -94 111.25
33 -68.3 66.84999999999999
34 -97.05 120.05
35 -73.05 74.40000000000001
36 -101.45 129.7
37 -78.05 81.90000000000001
38 -107.65 138.6
39 -83.45 89.25
40 -115.85 147.5
